,id,date,from_id,to_id,fwd_from,message,type,duration
0,857481,2022-02-14 05:06:45+00:00,,463034736,,акей,text,
1,857479,2022-02-13 21:13:11+00:00,PeerUser(user_id=463034736),1778404706,,в пяьницу вместе смотрим,text,
2,857478,2022-02-13 21:13:06+00:00,PeerUser(user_id=463034736),1778404706,,балдеш,text,
3,857477,2022-02-13 21:12:37+00:00,,463034736,,нет,text,
4,857420,2022-02-13 20:20:07+00:00,PeerUser(user_id=463034736),1778404706,,а ты не начинала гравити фолз 2 сезон?,text,
5,857419,2022-02-13 20:19:56+00:00,PeerUser(user_id=463034736),1778404706,,ира,text,
6,857240,2022-02-13 08:41:12+00:00,PeerUser(user_id=463034736),1778404706,,,video,6
7,857239,2022-02-13 08:41:00+00:00,PeerUser(user_id=463034736),1778404706,,,video,2
8,857238,2022-02-13 08:40:54+00:00,PeerUser(user_id=463034736),1778404706,,,video,1
9,857237,2022-02-13 08:40:33+00:00,PeerUser(user_id=463034736),1778404706,,,video,2
10,857236,2022-02-13 08:40:28+00:00,,463034736,,,video,4
11,857235,2022-02-13 08:40:22+00:00,,463034736,,,video,2
12,857234,2022-02-13 08:40:15+00:00,,463034736,,,video,4
13,857233,2022-02-13 08:40:14+00:00,PeerUser(user_id=463034736),1778404706,,,video,3
14,857232,2022-02-13 08:40:05+00:00,,463034736,,,video,4
15,857231,2022-02-13 08:39:54+00:00,,463034736,,,video,4
16,857230,2022-02-13 08:39:52+00:00,,463034736,,,video,3
17,857229,2022-02-13 08:39:48+00:00,,463034736,,,video,2
18,857228,2022-02-13 08:39:42+00:00,,463034736,,,video,5
19,857227,2022-02-13 08:39:40+00:00,,463034736,,,video,3
20,857226,2022-02-13 08:39:39+00:00,,463034736,,,video,3
21,857225,2022-02-13 08:39:35+00:00,,463034736,,,video,9
22,857224,2022-02-13 08:39:33+00:00,,463034736,,,video,2
23,857223,2022-02-13 08:39:32+00:00,PeerUser(user_id=463034736),1778404706,,,video,4
24,857222,2022-02-13 08:39:29+00:00,PeerUser(user_id=463034736),1778404706,,,video,3
25,857221,2022-02-13 08:39:25+00:00,PeerUser(user_id=463034736),1778404706,,,video,3
26,857220,2022-02-13 08:39:21+00:00,PeerUser(user_id=463034736),1778404706,,,video,4
27,857219,2022-02-13 08:39:09+00:00,PeerUser(user_id=463034736),1778404706,,,video,6
28,857218,2022-02-13 08:38:57+00:00,PeerUser(user_id=463034736),1778404706,,,video,4
29,857217,2022-02-13 08:38:42+00:00,PeerUser(user_id=463034736),1778404706,,,video,2
30,857216,2022-02-13 08:38:29+00:00,PeerUser(user_id=463034736),1778404706,,,video,13
31,857215,2022-02-13 08:38:13+00:00,PeerUser(user_id=463034736),1778404706,,,video,6
32,857214,2022-02-13 08:38:10+00:00,PeerUser(user_id=463034736),1778404706,,,video,11
33,857213,2022-02-13 08:38:03+00:00,PeerUser(user_id=463034736),1778404706,,,video,1
34,857212,2022-02-13 08:37:52+00:00,PeerUser(user_id=463034736),1778404706,,,video,1
35,856697,2022-02-11 18:28:18+00:00,,463034736,,поняла,text,
36,856696,2022-02-11 18:27:46+00:00,PeerUser(user_id=463034736),1778404706,,"до того, как ее зарегали",text,
37,856695,2022-02-11 18:27:42+00:00,PeerUser(user_id=463034736),1778404706,,"и считается, что она шла с того дня, как ты получила адрес",text,
38,856694,2022-02-11 18:27:21+00:00,PeerUser(user_id=463034736),1778404706,,они регистрируют,text,
39,856691,2022-02-11 18:18:28+00:00,,463034736,,или они сами??,text,
40,856681,2022-02-11 17:53:07+00:00,PeerUser(user_id=463034736),1778404706,,нигде,text,
41,856680,2022-02-11 17:52:57+00:00,,463034736,,"где показать, что я уже отправила открытки???",text,
42,856679,2022-02-11 17:52:36+00:00,,463034736,,маша,text,
43,855942,2022-02-10 13:07:06+00:00,,463034736,,😎,sticker,
44,855941,2022-02-10 13:06:53+00:00,,463034736,,дад,text,
45,855940,2022-02-10 13:06:45+00:00,PeerUser(user_id=463034736),1778404706,,🥺,sticker,
46,855939,2022-02-10 13:06:37+00:00,PeerUser(user_id=463034736),1778404706,,возьмешь рюкзак????,text,
47,855917,2022-02-10 11:27:18+00:00,PeerUser(user_id=463034736),1778404706,,https://www.instagram.com/corgi_irina/,text,
48,855894,2022-02-10 09:33:57+00:00,PeerUser(user_id=463034736),1778404706,,"hi there!!
I'm Maria, nice to meet you!

I live in a quite big Ukrainian city called Dnipro. this is a place for interesting and amazing people, they all create unique stuff and make art! and so do I. I love art, I love visiting museums and looking at paintings, I love discovering new artists and painting by myself, so I don't mind cards with artworks on it. and I also love reading! it would be so nice if you recommend me some of your favorite books. 

by the way, I really like old postcards. you know, with some cityscapes, that are really different from present views, or old pictures with people on it. also cards wth illustrations and simple plots are welcomed!

for a few month already I am highly interested in bouldering and climbing. if you have a card with climbers by chance, I would be really happy to get it!

I travel a lot with my family and to be honest, I really-really like discovering new countries and its traditions, cultures, people. please, tell me something about your country and yourself in a postcard!

thank you for reading!!
xoxo",text,
